"id_prod";"id_fam";"clave";"codigo";"descr";"cant";"uni";"inner_";"master_";"pag_catl";"precio_list";"precio_promo";"tipo";"fecha_llega";"act";"registro";"condiciones";"img";"est"
"PRD0000001";"FAM0000001";"ST332196";"3219";"Abrazadera U 5/16X2 X4 11/16 con placa y 2 tuercas 25 jueg";17;"";"0";"0";"74";1990.0;1990.0;"Ferretero";"Checar";"";"2023-02-08 16:07:08";"25 piezas";"";"A"
"PRD0000002";"FAM0000003";"SE335289";"3528";"Codo de PVC pesado 100mm(4"")";69;"";"0";"0";"132";312.9;312.9;"Electrico";"Checar";"";"2023-02-08 16:09:38";"Minimo 1 piezas";"";"A"
"PRD0000003";"FAM0000003";"SE335272";"3527";"Codo de PVC pesado 75mm(3"")";82;"";"0";"0";"132";191.4;191.4;"Electrico";"Checar";"";"2023-02-08 16:09:38";"Minimo 1 piezas";"";"A"
"PRD0000004";"FAM0000003";"SE335142";"3514";"Conector de PVC pesado 100mm(4"")";83;"";"0";"0";"132";159.6;159.6;"Electrico";"Checar";"";"2023-02-08 16:09:38";"Minimo 12 piezas";"";"A"
"PRD0000005";"FAM0000003";"SE334480";"3448";"Tubo de PVC ligero 25mm(1"") largo 3 metros";321;"";"1 = 10 pzs";"1 = 10 pzs";"132";637.0;637.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000006";"FAM0000003";"SE334497";"3449";"Tubo de PVC ligero 32mm(1 1/4"") largo 3 metros";41;"";"1 = 10 pzs";"1 = 10 pzs";"132";945.0;945.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000007";"FAM0000003";"SE334503";"3450";"Tubo de PVC ligero 38mm(1 1/2"") largo 3 metros";25;"";"1 = 10 pzs";"1 = 10 pzs";"132";1244.0;1244.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000008";"FAM0000003";"SE334510";"3451";"Tubo de PVC ligero 51mm(2"") largo 3 metros";0;"";"1 = 10 pzs";"1 = 10 pzs";"132";1631.0;1631.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000009";"FAM0000003";"SE334947";"3494";"Tubo de PVC pesado 25mm(1"") largo 3 metros";94;"";"1 = 10 pzs";"1 = 10 pzs";"132";884.0;884.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000010";"FAM0000003";"SE334954";"3495";"Tubo de PVC pesado 32mm(1 1/4"") largo 3 metros";25;"";"1 = 10 pzs";"1 = 10 pzs";"132";1221.0;1221.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000011";"FAM0000003";"SE334961";"3496";"Tubo de PVC pesado 38mm(1 1/2"") largo 3 metros";25;"";"1 = 10 pzs";"1 = 10 pzs";"132";1610.0;1610.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000012";"FAM0000003";"SE334978";"3497";"Tubo de PVC pesado 51mm(2"") largo 3 metros";26;"";"1 = 10 pzs";"1 = 10 pzs";"132";2497.0;2497.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 10 pzs";"";"A"
"PRD0000013";"FAM0000003";"SE334466";"3446";"Tubo de PVC ligero 13mm(1/2"") largo 3 metros";0;"";"1 = 20 pzs";"1 = 20 pzs";"132";668.0;668.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000014";"FAM0000003";"SE334473";"3447";"Tubo de PVC ligero 19mm(3/4"") largo 3 metros";36;"";"1 = 20 pzs";"1 = 20 pzs";"132";932.0;932.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000015";"FAM0000003";"SE334923";"3492";"Tubo de PVC pesado 13mm(1/2"") largo 3 metros";59;"";"1 = 20 pzs";"1 = 20 pzs";"132";1080.0;1080.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000016";"FAM0000003";"SE334930";"3493";"Tubo de PVC pesado 19mm(3/4"") largo 3 metros";106;"";"1 = 20 pzs";"1 = 20 pzs";"132";1332.0;1332.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000017";"FAM0000003";"SE334985";"3498";"Tubo de PVC pesado 63mm(2 1/2"") largo 3 metros";15;"";"1 = 20 pzs";"1 = 20 pzs";"132";6764.0;6764.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000018";"FAM0000003";"SE334992";"3499";"Tubo de PVC pesado 76mm(3"") largo 3 metros";5;"";"1 = 20 pzs";"1 = 20 pzs";"132";8472.0;8472.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 atado = 20 pzs";"";"A"
"PRD0000019";"FAM0000003";"SE334565";"3456";"Conector de PVC ligero 13mm(1/2"")";43;"";"1 = 100 pzs";"1 = 100 pzs";"132";450.0;450.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 bolsa = 100 pzs";"";"A"
"PRD0000020";"FAM0000003";"SE335067";"3506";"Conector de PVC pesado 13mm(1/2"")";0;"";"1 = 100 pzs";"1 = 100 pzs";"132";590.0;590.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 bolsa = 100 pzs";"";"A"
"PRD0000021";"FAM0000003";"SE334695";"3469";"Codo de PVC ligero 32mm(1 1/4"")";33;"";"1 = 12 pzs";"1 = 12 pzs";"132";330.0;330.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 bolsa = 12 pzs";"";"A"
"PRD0000022";"FAM0000003";"SE335128";"3512";"Conector de PVC pesado 63mm(2 1/2"")";7;"";"1 = 12 pzs";"1 = 12 pzs";"132";714.0;714.0;"Electrico";"Checar";"";"2023-02-08 16:09:38";"1 bolsa = 12 pzs";"";"A"
